,Fan,Refrigerator,AirConditioner,Television,Monitor,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
152,8,23.0,3.0,3.0,1.0,4,Kolkata,NTPC Pvt. Ltd.,508,8.7,4419.599999999999
153,10,20.0,0.0,7.0,1.0,12,Vadodara,NHPC,299,7.8,2332.2
154,17,22.0,3.0,18.0,1.0,7,Noida,Kalpataru Power,537,8.2,4403.4
155,11,22.0,2.0,10.0,1.0,12,Mumbai,Reliance Energy,473,9.2,4351.599999999999
156,19,23.0,2.0,5.0,1.0,10,Ahmedabad,TransRail Lighting,449,7.9,3547.1000000000004
157,13,23.0,3.0,21.0,1.0,1,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,618,7.7,4758.6
158,22,23.0,0.0,22.0,1.0,9,Noida,Kalpataru Power,540,8.2,4428.0
159,12,23.0,1.0,20.0,1.0,4,Faridabad,L&T Transmission & Distribution,530,8.1,4293.0
160,19,23.0,2.0,6.0,1.0,3,Chennai,Power Grid Corp,578,8.8,5086.400000000001
161,15,22.0,3.0,17.0,1.0,2,Ahmedabad,JSW Energy Ltd.,418,7.9,3302.2000000000003
162,10,22.0,0.0,12.0,7.0,2,Ratnagiri,Orient Green,406,7.4,3004.4
163,19,22.0,3.0,10.0,1.0,1,Navi Mumbai,Torrent Power Ltd.,521,9.3,4845.3
164,5,18.0,3.0,9.0,1.0,2,Ahmedabad,Tata Power Company Ltd.,458,7.9,3618.2
165,16,22.0,3.0,8.0,12.0,2,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,666,8.8,5860.8
166,7,17.0,3.0,14.0,1.0,8,Mumbai,Torrent Power Ltd.,325,9.2,2989.9999999999995
167,22,23.0,0.0,20.0,12.0,10,Navi Mumbai,Reliance Power,684,9.3,6361.200000000001
168,19,23.0,0.0,14.0,1.0,2,Pune,L&T Transmission & Distribution,491,9.1,4468.099999999999
169,7,20.0,2.0,13.0,1.0,12,Faridabad,Sterlite Power Transmission Ltd,528,8.1,4276.8
170,14,22.0,3.0,20.0,1.0,5,Dahej,Sunil Hitech Eng,742,7.6,5639.2
171,16,23.0,1.0,22.0,12.0,3,Navi Mumbai,SJVN Ltd.,768,9.3,7142.400000000001
172,10,19.0,0.0,10.0,1.0,12,Kolkata,GE T&D India Limited,503,8.7,4376.099999999999
173,7,17.0,1.0,18.0,7.0,11,Navi Mumbai,SJVN Ltd.,536,9.3,4984.8
174,9,19.0,1.0,12.0,1.0,1,Ratnagiri,Torrent Power Ltd.,472,7.4,3492.8
175,15,22.0,1.0,19.0,1.0,1,Dahej,CESC,634,7.6,4818.4
176,15,23.0,2.0,8.0,1.0,10,Hyderabad,Guj Ind Power,384,8.4,3225.6000000000004
177,12,22.0,2.0,11.0,1.0,3,New Delhi,CESC,438,8.5,3723.0
178,14,22.0,1.0,10.0,12.0,7,Faridabad,NHPC,701,8.1,5678.099999999999
179,15,22.0,2.0,16.0,1.0,6,Gurgaon,Indowind Energy,462,8.3,3834.6
180,9,23.0,2.0,7.0,1.0,3,Ahmedabad,Bonfiglioli Transmission Pvt. Ltd.,601,7.9,4747.900000000001
181,19,22.0,0.0,10.0,1.0,9,Ratnagiri,NLC India,408,7.4,3019.2000000000003
182,12,22.0,2.0,6.0,1.0,6,Hyderabad,Jaiprakash Power,463,8.4,3889.2
183,6,23.0,2.0,19.0,7.0,7,Hyderabad,SJVN Ltd.,602,8.4,5056.8
184,23,22.0,0.0,12.0,1.0,6,Shimla,Unitech Power Transmission Ltd.,635,7.7,4889.5
185,23,23.0,0.0,22.0,1.0,8,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,563,7.7,4335.1
186,18,23.0,3.0,12.0,1.0,8,Nagpur,Torrent Power Ltd.,726,8.9,6461.400000000001
187,7,20.0,1.0,16.0,1.0,12,Chennai,TransRail Lighting,412,8.8,3625.6
188,7,21.0,3.0,22.0,1.0,12,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,675,7.9,5332.5
189,11,22.0,2.0,13.0,1.0,9,Mumbai,Reliance Energy,385,9.2,3541.9999999999995
190,13,22.0,0.0,21.0,12.0,10,Dahej,Reliance Power,744,7.6,5654.4
191,13,22.0,1.0,18.0,1.0,4,Vadodara,Reliance Energy,410,7.8,3198.0
192,13,23.0,2.0,14.0,12.0,1,Dahej,KEC International,591,7.6,4491.599999999999
193,7,23.0,1.0,14.0,1.0,4,Chennai,Reliance Power,521,8.8,4584.8
194,18,23.0,2.0,10.0,1.0,5,Chennai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",596,8.8,5244.8
195,22,23.0,2.0,4.0,1.0,4,Gurgaon,Power Grid Corp,415,8.3,3444.5000000000005
196,16,23.0,0.0,8.0,1.0,12,Vadodara,NLC India,503,7.8,3923.4
197,7,17.0,3.0,17.0,1.0,10,Ahmedabad,L&T Transmission & Distribution,526,7.9,4155.400000000001
198,13,22.0,0.0,12.0,1.0,6,Nagpur,NTPC Pvt. Ltd.,377,8.9,3355.3
199,14,22.0,2.0,6.0,1.0,3,Chennai,L&T Transmission & Distribution,376,8.8,3308.8
200,17,23.0,3.0,21.0,1.0,6,Nagpur,NTPC Pvt. Ltd.,724,8.9,6443.6
201,11,22.0,2.0,12.0,12.0,7,Faridabad,Reliance Power,707,8.1,5726.7
202,11,23.0,0.0,4.0,1.0,11,Kolkata,Jyoti Structure,365,8.7,3175.4999999999995
203,5,19.0,2.0,8.0,1.0,2,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,308,8.3,2556.4
204,16,23.0,3.0,5.0,1.0,8,Kolkata,Orient Green,543,8.7,4724.099999999999
205,6,22.0,1.0,9.0,1.0,3,Gurgaon,Sunil Hitech Eng,355,8.3,2946.5000000000005
206,6,21.0,2.0,4.0,7.0,9,Vadodara,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,502,7.8,3915.6
207,5,19.0,2.0,16.0,1.0,8,Gurgaon,Guj Ind Power,455,8.3,3776.500000000001
208,9,19.0,0.0,13.0,7.0,12,Ahmedabad,Guj Ind Power,543,7.9,4289.7
209,12,23.0,1.0,7.0,1.0,11,Faridabad,L&T Transmission & Distribution,461,8.1,3734.1
210,8,17.0,1.0,8.0,1.0,7,Chennai,Power Grid Corp,412,8.8,3625.6
211,15,22.0,3.0,16.0,12.0,9,Hyderabad,Neueon Towers / Sujana Towers Ltd.,633,8.4,5317.2
212,6,19.0,2.0,15.0,1.0,12,Pune,Jaiprakash Power,480,9.1,4368.0
213,9,17.0,0.0,11.0,7.0,5,Kolkata,CESC,348,8.7,3027.6
214,20,22.0,2.0,6.0,1.0,10,Vadodara,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),623,7.8,4859.4
215,12,22.0,3.0,9.0,1.0,3,Gurgaon,TransRail Lighting,465,8.3,3859.500000000001
216,5,18.0,0.0,14.0,1.0,6,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,371,8.3,3079.3
217,21,22.0,1.0,12.0,1.0,11,Ahmedabad,KEC International,561,7.9,4431.900000000001
218,20,22.0,2.0,9.0,1.0,8,Chennai,Sunil Hitech Eng,673,8.8,5922.400000000001
219,7,18.0,1.0,15.0,1.0,8,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,535,7.4,3959.0
220,12,22.0,3.0,6.0,12.0,4,Pune,Ringfeder Power Transmission India Pvt. Ltd.,513,9.1,4668.3
221,8,17.0,1.0,4.0,7.0,10,Ahmedabad,Indowind Energy,460,7.9,3634.0
222,20,23.0,2.0,12.0,1.0,8,Noida,Optibelt Power Transmission India Private Limited,483,8.2,3960.6
223,7,17.0,2.0,10.0,1.0,7,Hyderabad,Sunil Hitech Eng,370,8.4,3108.0
224,11,23.0,3.0,18.0,1.0,10,Hyderabad,Sunil Hitech Eng,678,8.4,5695.2
225,7,23.0,0.0,19.0,1.0,8,Shimla,Orient Green,459,7.7,3534.3
226,22,23.0,3.0,19.0,12.0,1,Dahej,Tata Power Company Ltd.,717,7.6,5449.2
227,21,22.0,2.0,15.0,1.0,7,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,617,8.8,5429.6
228,5,22.0,3.0,9.0,1.0,5,Navi Mumbai,Tata Power Company Ltd.,488,9.3,4538.400000000001
229,22,22.0,2.0,20.0,1.0,12,Ahmedabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,614,7.9,4850.6
230,21,23.0,3.0,13.0,1.0,11,Ratnagiri,Power Grid Corp,556,7.4,4114.400000000001
231,6,18.0,0.0,9.0,1.0,8,Kolkata,Unitech Power Transmission Ltd.,301,8.7,2618.7
232,9,20.0,2.0,19.0,1.0,4,Pune,Unitech Power Transmission Ltd.,569,9.1,5177.9
233,9,21.0,3.0,22.0,1.0,8,Chennai,Sterlite Power Transmission Ltd,527,8.8,4637.6
234,16,22.0,1.0,3.0,1.0,11,Vadodara,Unitech Power Transmission Ltd.,322,7.8,2511.6
235,16,23.0,1.0,21.0,1.0,6,Dahej,TransRail Lighting,712,7.6,5411.2
236,6,18.0,0.0,17.0,1.0,10,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),442,8.2,3624.4
237,19,23.0,1.0,17.0,12.0,2,Noida,Orient Green,509,8.2,4173.799999999999
238,11,23.0,3.0,20.0,1.0,1,Nagpur,Unitech Power Transmission Ltd.,648,8.9,5767.2
239,11,22.0,2.0,14.0,1.0,3,Chennai,KEC International,394,8.8,3467.2000000000003
240,15,22.0,2.0,14.0,1.0,6,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,487,9.2,4480.4
241,21,23.0,2.0,5.0,1.0,2,Hyderabad,JSW Energy Ltd.,417,8.4,3502.8
242,10,23.0,2.0,19.0,1.0,12,Gurgaon,L&T Transmission & Distribution,504,8.3,4183.200000000001
243,11,22.0,3.0,4.0,1.0,9,Kolkata,Jyoti Structure,503,8.7,4376.099999999999
244,22,22.0,3.0,4.0,1.0,10,Vadodara,Kalpataru Power,503,7.8,3923.4
245,15,22.0,2.0,10.0,12.0,4,New Delhi,TransRail Lighting,514,8.5,4369.0
246,23,23.0,2.0,20.0,1.0,5,Dahej,Ringfeder Power Transmission India Pvt. Ltd.,741,7.6,5631.599999999999
247,21,23.0,1.0,8.0,1.0,1,Vadodara,Power Grid Corp,407,7.8,3174.6
248,13,23.0,3.0,17.0,1.0,11,Pune,Sterlite Power Transmission Ltd,522,9.1,4750.2
249,18,22.0,2.0,14.0,1.0,10,Dahej,L&T Transmission & Distribution,506,7.6,3845.6
250,13,22.0,1.0,3.0,1.0,8,Chennai,KEC International,420,8.8,3696.000000000001
251,22,23.0,0.0,15.0,12.0,11,Ratnagiri,NLC India,735,7.4,5439.0
252,13,23.0,2.0,21.0,12.0,11,Pune,Reliance Energy,577,9.1,5250.7
253,15,22.0,1.0,14.0,1.0,10,Pune,Reliance Energy,397,9.1,3612.7
254,21,23.0,3.0,12.0,1.0,7,Mumbai,KEC International,640,9.2,5888.0
255,13,23.0,2.0,9.0,1.0,4,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",395,8.9,3515.5
256,20,22.0,3.0,7.0,12.0,5,Dahej,Reliance Power,626,7.6,4757.599999999999
257,14,23.0,1.0,13.0,12.0,7,Ratnagiri,Sunil Hitech Eng,749,7.4,5542.6
